run,run_number,total_seconds,search_seconds,batch_size
m1-cpu6-pb-r1,1,41,40,
m1-cpu6-pb-r2,2,40,39,
m1-cpu6-pb-r3,3,40,40,
m1-cpu6-pb-r4,4,45,45,
m1-cpu6-pb-r5,5,38,37,
m1-cpu6-r1,1,35,34,
m1-cpu6-r2,2,42,41,
m1-cpu6-r3,3,37,36,
m1-cpu6-r4,4,35,35,
m1-cpu6-r5,5,34,34,
m1-cuda-autobs-r1,1,8,6.693,1705
m1-cuda-autobs-r2,2,7,6.615,1713
m1-cuda-autobs-r3,3,7,6.282,1703
m1-cuda-autobs-r4,4,9,7.832,1738
m1-cuda-autobs-r5,5,7,6.566,1745
m1-cuda-autobs2,,9,8.342,1
m1-cuda-bs10-r1,1,7,5.967,10
m1-cuda-bs10-r2,2,7,6.141,10
m1-cuda-bs10-r3,3,7,6.008,10
m1-cuda-bs10-r4,4,7,6.479,10
m1-cuda-bs10-r5,5,7,6.245,10
m1-cuda-bs100,,7,6.442,100
m1-cuda-bs100-r1,1,6,5.715,100
m1-cuda-bs100-r2,2,7,5.943,100
m1-cuda-bs100-r3,3,7,6.453,100
m1-cuda-bs100-r4,4,7,6.743,100
m1-cuda-bs100-r5,5,6,5.731,100
m1-cuda-bs1000-r1,1,7,6.09,1000
m1-cuda-bs1000-r2,2,7,6.114,1000
m1-cuda-bs1000-r3,3,7,6.082,1000
m1-cuda-bs1000-r4,4,7,5.837,1000
m1-cuda-bs1000-r5,5,7,6.405,1000
m1-cuda-bs150-r1,1,6,5.718,150
m1-cuda-bs150-r2,2,6,5.728,150
m1-cuda-bs150-r3,3,7,6.003,150
m1-cuda-bs150-r4,4,7,6.143,150
m1-cuda-bs150-r5,5,6,5.722,150
m1-cuda-bs200-r1,1,6,5.715,200
m1-cuda-bs200-r2,2,7,6.284,200
m1-cuda-bs200-r3,3,7,6.016,200
m1-cuda-bs200-r4,4,7,6.303,200
m1-cuda-bs200-r5,5,6,5.723,200
m1-cuda-bs250,,7,5.765,250
m1-cuda-bs250-r1,1,7,6.037,250
m1-cuda-bs250-r2,2,7,6.417,250
m1-cuda-bs250-r3,3,7,6.702,250
m1-cuda-bs250-r4,4,6,5.777,250
m1-cuda-bs250-r5,5,6,5.72,250
m1-cuda-bs300,,7,5.789,300
m1-cuda-bs400,,7,5.758,400
m1-cuda-bs50-r1,1,6,5.745,50
m1-cuda-bs50-r2,2,7,5.891,50
m1-cuda-bs50-r3,3,7,5.804,50
m1-cuda-bs50-r4,4,7,5.949,50
m1-cuda-bs50-r5,5,6,5.749,50
m1-cuda-bs500,,7,5.763,500
m1-cuda-bs500-r1,1,7,5.768,500
m1-cuda-bs500-r2,2,7,5.792,500
m1-cuda-bs500-r3,3,7,6.307,500
m1-cuda-bs500-r4,4,7,5.795,500
m1-cuda-bs500-r5,5,6,5.738,500
m1-cuda-bs600,,7,5.756,600
m1-cuda-bs75-r1,1,6,5.725,75
m1-cuda-bs75-r2,2,7,5.801,75
m1-cuda-bs75-r3,3,7,6.024,75
m1-cuda-bs75-r4,4,7,5.933,75
m1-cuda-bs75-r5,5,6,5.732,75
m1-cuda-bs800,,7,5.81,800
m1-cuda-nobs-r1,1,9,8.607,
m1-cuda-nobs-r2,2,10,8.792,
m1-cuda-nobs-r3,3,9,8.695,
m1-cuda-nobs-r4,4,9,8.627,
m1-cuda-nobs-r5,5,9,8.636,
m1-opencl-autobs-r-master,,14,13,
m1-opencl-autobs-r1,1,10,9.132,1587
m1-opencl-autobs-r2,2,8,7.238,1587
m1-opencl-autobs-r3,3,8,7.267,1587
m1-opencl-autobs-r4,4,8,6.969,1587
m1-opencl-autobs-r5,5,8,7.11,1587
m1-opencl-bs10-r1,1,7,6.735,10
m1-opencl-bs10-r2,2,7,6.735,10
m1-opencl-bs10-r3,3,7,6.742,10
m1-opencl-bs10-r4,4,7,6.724,10
m1-opencl-bs10-r5,5,7,6.793,10
m1-opencl-bs100-r1,1,8,7.291,100
m1-opencl-bs100-r2,2,8,6.94,100
m1-opencl-bs100-r3,3,8,6.921,100
m1-opencl-bs100-r4,4,8,6.919,100
m1-opencl-bs100-r5,5,8,7.179,100
m1-opencl-bs1000-r1,1,10,9.411,1000
m1-opencl-bs1000-r2,2,8,7.042,1000
m1-opencl-bs1000-r3,3,9,8.192,1000
m1-opencl-bs1000-r4,4,8,6.972,1000
m1-opencl-bs1000-r5,5,8,7.348,1000
m1-opencl-bs150-r1,1,8,6.942,150
m1-opencl-bs150-r2,2,8,7.005,150
m1-opencl-bs150-r3,3,8,6.986,150
m1-opencl-bs150-r4,4,8,6.983,150
m1-opencl-bs150-r5,5,8,7.32,150
m1-opencl-bs200-r1,1,8,6.957,200
m1-opencl-bs200-r2,2,8,7.22,200
m1-opencl-bs200-r3,3,8,7.22,200
m1-opencl-bs200-r4,4,8,7.226,200
m1-opencl-bs200-r5,5,8,7.638,200
m1-opencl-bs250-r1,1,7,6.804,250
m1-opencl-bs250-r2,2,8,7.077,250
m1-opencl-bs250-r3,3,8,7.085,250
m1-opencl-bs250-r4,4,8,7.087,250
m1-opencl-bs250-r5,5,8,7.072,250
m1-opencl-bs50-r1,1,8,6.844,50
m1-opencl-bs50-r2,2,8,6.892,50
m1-opencl-bs50-r3,3,8,6.87,50
m1-opencl-bs50-r4,4,8,6.836,50
m1-opencl-bs50-r5,5,8,6.932,50
m1-opencl-bs500-r1,1,8,6.905,500
m1-opencl-bs500-r2,2,8,7.118,500
m1-opencl-bs500-r3,3,8,7.116,500
m1-opencl-bs500-r4,4,8,7.115,500
m1-opencl-bs500-r5,5,8,7.116,500
m1-opencl-bs75-r1,1,8,6.92,75
m1-opencl-bs75-r2,2,8,6.9,75
m1-opencl-bs75-r3,3,8,6.903,75
m1-opencl-bs75-r4,4,8,6.89,75
m1-opencl-bs75-r5,5,7,6.77,75
m1-opencl-nobs-r1,1,17,16,
m1-opencl-nobs-r2,2,17,16,
m1-opencl-nobs-r3,3,17,16,
m1-opencl-nobs-r4,4,17,16,
m1-opencl-nobs-r5,5,17,16,
